ID	Fare	Source	Destination	Status	Departure	Arrival	Type	Fee	Experts	Flyer
28518	$1,944	Perth, PER	Orlando, ALL	Closed	09-Mar-13	(multi-city)	Multi-City	Finder's Fee $54	3 Experts	Rodsiegle
28538	$81	Denver, DEN	Tel Aviv, ALL	Closed	01-Nov-12	12-Nov-12	Round-Trip	Finder's Fee $39	9 Experts	Jmicley
28546	$817	Santiago, SCL	Miami, MIA	Closed	27-Oct-12	03-Nov-12	Round-Trip	Finder's Fee $39	5 Experts	Victorloyal
28547	$1,144	Guadalajara, GDL	Hong Kong, HKG	Closed	15-Oct-12	(one-way)	One-Way	Finder's Fee $34	2 Experts	Clive.c.cheng
28548	$300	San Jose, SJC	Boston, BOS	Closed	28-Sep-12	01-Oct-12	Round-Trip	Finder's Fee $39	4 Experts	Nessup
28560	$864	San Francisco, SFO	Hong Kong, HKG	Closed	13-Dec-12	13-Jan-13	Round-Trip	Finder's Fee $79	3 Experts	Valerie
28566	$1,805	Fort Lauderdale, FLL	Sydney, SYD	Closed	05-Mar-13	(one-way)	One-Way	Finder's Fee $49	3 Experts	Caromo
28574	$915	Bangkok, BKK	Medellín, EOH	Closed	01-Dec-12	(one-way)	One-Way	Finder's Fee $34	2 Experts	Ozgression
28575	$331	Boston, BOS	San Francisco, SFO	Closed	11-Oct-12	(one-way)	One-Way	Finder's Fee $39	9 Experts	Aarondtucker
28598	$2,742	Sydney, SYD	Dublin, DUB	Closed	28-Sep-12	(multi-city)	Multi-City	Finder's Fee $64	5 Experts	Colm83
28599	$496	Melbourne, ALL	Queenstown, ZQN	Closed	30-Dec-12	(one-way)	One-Way	Finder's Fee $29	5 Experts	Tuckersheridan
28600	$3,316	Sydney, SYD	New York, NYC	Closed	23-Dec-12	(one-way)	One-Way	Finder's Fee $34	2 Experts	TimeTraveller
28605	$1,383	Bucharest, OTP	Cali, CLO	Closed	15-Dec-12	(one-way)	One-Way	Finder's Fee $39	2 Experts	Doru1985
28609	$1,123	Houston, IAH	Burgas, BOJ	Closed	21-Sep-12	(one-way)	One-Way	Finder's Fee $49	9 Experts	Eliekarsen
28620	$295	Munich, MUC	London, LON	Closed	28-Sep-12	30-Sep-12	Round-Trip	Finder's Fee $29	2 Experts	Nkabrich
28631	$1,821	San Francisco, SFO	Sydney, SYD	Closed	20-Oct-12	27-Oct-12	Round-Trip	Finder's Fee $39	5 Experts	Mikeb
28642	$2,170	Sydney, SYD	Elmira/Corning, ELM	Closed	17-Dec-12	27-Dec-12	Round-Trip	Finder's Fee $49	4 Experts	Gwen
28643	$582	Honolulu Oahu, HNL	Stockholm, ALL	Closed	07-Oct-12	(one-way)	One-Way	Finder's Fee $44	5 Experts	Shantiholland
28647	$660	New York, NYC	Hanoi, HAN	Closed	07-Nov-12	(one-way)	One-Way	Finder's Fee $44	4 Experts	User79
28651	$1,645	Boston, BOS	Sydney, SYD	Closed	22-Jan-13	(one-way)	One-Way	Finder's Fee $29	7 Experts	Kernwyman
28652	$1,131	Jakarta, CGK	Amsterdam, AMS	Closed	27-Nov-12	(one-way)	One-Way	Finder's Fee $67	5 Experts	Sid1983
28654	$1,078	Taipei, ALL	Hong Kong, HKG	Closed	08-Oct-12	(multi-city)	Multi-City	Finder's Fee $49	2 Experts	Angelica
28671	$1,946	Melbourne, ALL	Berlin, BER	Closed	08-Dec-12	18-Dec-12	Round-Trip	Finder's Fee $59	6 Experts	Alex32edin
28673	$62	San Francisco, SFO	Bangkok, BKK	Closed	16-Nov-12	(one-way)	One-Way	Finder's Fee $39	6 Experts	Lwang113
28683	TBA	Brisbane, BNE	Nairobi, ALL	Closed	22-Jun-13	(multi-city)	Multi-City	Finder's Fee $34	0 Experts	Gidget_14
28684	$335	San Francisco, SFO	Vancouver, YVR	Closed	11-Oct-12	15-Oct-12	Round-Trip	Finder's Fee $44	4 Experts	Surferlex
28685	$1,406	Sydney, SYD	Singapore, SIN	Closed	31-May-13	(one-way)	One-Way	Finder's Fee $34	6 Experts	Bawniefitz
28688	$1,708	London, LON	Lima, LIM	Closed	09-Oct-12	(multi-city)	Multi-City	Finder's Fee $59	4 Experts	Colm83
28695	$611	Tel Aviv, ALL	Amsterdam, AMS	Closed	03-Oct-12	07-Oct-12	Round-Trip	Finder's Fee $39	3 Experts	Assaloya
28699	$160	Amsterdam, AMS	Budapest, BUD	Closed	27-Sep-12	01-Oct-12	Round-Trip	Finder's Fee $39	5 Experts	Bgullapalli
28712	$915	Madrid, MAD	Medellín, MDE	Closed	26-Dec-12	(one-way)	One-Way	Finder's Fee $60	3 Experts	Jandrovel
28713	$2,906	Sydney, SYD	San Francisco, SFO	Closed	18-Apr-13	(multi-city)	Multi-City	Finder's Fee $54	3 Experts	Andrew27
28714	$549	San Francisco, SFO	Munich, MUC	Closed	20-Sep-12	(one-way)	One-Way	Finder's Fee $34	3 Experts	Simon92
28715	$724	New York, JFK	London, LHR	Closed	26-Sep-12	(one-way)	One-Way	Finder's Fee $54	4 Experts	Marios.kallis
28721	$650	Santiago, SCL	Calgary, YYC	Closed	01-Feb-13	(one-way)	One-Way	Finder's Fee $34	4 Experts	Evatkins21
28751	$765	Washington, ALL	Istanbul, ALL	Closed	15-Oct-12	(one-way)	One-Way	Finder's Fee $39	6 Experts	G.sastry
28755	$1,565	Toronto, ALL	Kolkata / Calcutta, CCU	Closed	13-Dec-12	(one-way)	One-Way	Finder's Fee $49	3 Experts	Abiswas00
28759	$324	Santa Ana, SNA	Calgary, YYC	Closed	04-Nov-12	07-Nov-12	Round-Trip	Finder's Fee $49	6 Experts	Vlaskovits
28761	$2,089	Sydney, SYD	Buenos Aires, EZE	Closed	01-Oct-12	14-Oct-12	Round-Trip	Finder's Fee $39	4 Experts	Timjjw
28763	$410	Hong Kong, HKG	Phuket, HKT	Closed	29-Sep-12	05-Oct-12	Round-Trip	Finder's Fee $49	3 Experts	Sanjay_budhrani
28772	$2,020	Melbourne, ALL	Mexico City, MEX	Closed	22-Dec-12	(multi-city)	Multi-City	Finder's Fee $64	5 Experts	Mar-29
