ID	Fare	Source	Destination	Status	Departure	Arrival	Type	Fee	Experts	Flyer
1	$1,001	Singapore, SIN	Hartford, BDL	Closed	06-Jan-12	20-Jan-12	Round-Trip	Finder's Fee $29	4 Experts	Yihui
2	$767	Bangkok, BKK	Toronto, YYZ	Closed	20-Dec-11	(one-way)	One-Way	Finder's Fee $19	3 Experts	Lily
3	$455	Southern Germany	Longyearbyen, LYR	Closed	11-May-12	14-May-12	Round-Trip	Finder's Fee $19	2 Experts	Cath21
4	$521	Anywhere in Europe	Sydney, SYD	Closed	03-Dec-11	(one-way)	One-Way	Finder's Fee $39	5 Experts	Paul
5	$644	Portland, PDX	Mexico City, MEX	Closed	22-Dec-11	03-Jan-12	Round-Trip	Finder's Fee $19	3 Experts	Mpen
6	$2,492	Canberra, CBR	Cairo, CAI	Closed	23-Dec-11	21-Jan-12	Round-Trip	Finder's Fee $39	3 Experts	Mariam
8	$1,169	Sydney, SYD	Calgary, YYC	Closed	21-Jan-12	(one-way)	One-Way	Finder's Fee $19	3 Experts	Freqflyer
9	$927	London, YXU	Dublin, DUB	Closed	10-Jan-12	14-Jan-12	Round-Trip	Finder's Fee $19	3 Experts	Janis
10	$822	Inverness, INV	Houston, IAH	Closed	21-Jan-12	31-Mar-12	Round-Trip	Finder's Fee $19	3 Experts	Freqflyer
11	$601	Managua, MGA	New York, JFK	Closed	19-Dec-11	28-Dec-11	Round-Trip	Finder's Fee $29	3 Experts	Freqflyer
13	$6,804	Canberra, CBR	San Francisco, SFO	Closed	14-Dec-11	23-Dec-11	Round-Trip	Finder's Fee $19	2 Experts	Janis
15	$1,770	Sydney, SYD	San Francisco, SFO	Closed	15-Dec-11	30-Nov-12	Round-Trip	Finder's Fee $39	2 Experts	Moocar
16	$1,164	Sydney, SYD	San Francisco, SFO	Closed	31-Jan-12	04-Mar-12	Round-Trip	Finder's Fee $29	2 Experts	Geoffmcqueen
17	$2,179	Sydney, SYD	Madrid, MAD	Closed	26-Dec-11	14-Jan-12	Round-Trip	Finder's Fee $39	3 Experts	Djinoz
18	$349	Buffalo, BUF	San Diego, SAN	Closed	10-Apr-12	(one-way)	One-Way	Finder's Fee $39	3 Experts	Bossdj
19	$522	Chicago, ORD	Grand Junction, GJT	Closed	25-Dec-11	31-Dec-11	Round-Trip	Finder's Fee $29	2 Experts	ASIA74
20	$827	Kearney, EAR	Chiang Mai, CNX	Closed	07-Apr-12	(one-way)	One-Way	Finder's Fee $19	4 Experts	FullCourseTravel
21	$2,222	Perth, PER	Weno Island, TKK	Closed	20-Jan-12	29-Jan-12	Round-Trip	Finder's Fee $29	2 Experts	Tachyon
22	$1,079	Edinburgh, EDI	Ulan Bator, ULN	Closed	10-May-12	(one-way)	One-Way	Finder's Fee $19	2 Experts	1000MileJourneys
23	$1,563	South Bend, SBN	Paro, PBH	Closed	21-Jan-12	27-Feb-12	Round-Trip	Finder's Fee $29	3 Experts	Flyboy
24	$684	Berlin, TXL	San Francisco, SFO	Closed	15-Feb-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Mfjuette
25	$703	Seattle, SEA	Santiago, SCL	Closed	11-Jan-12	(one-way)	One-Way	Finder's Fee $19	3 Experts	Volandovengo
26	$1,041	Burlington, BTV	Rome, FCO	Closed	20-May-12	(one-way)	One-Way	Finder's Fee $29	2 Experts	Gray
27	$540	Rome, FCO	Nairobi, NBO	Closed	30-Apr-12	(one-way)	One-Way	Finder's Fee $19	2 Experts	Theplanetd
28	$636	Toronto, YYZ	Bogota, BOG	Closed	05-Apr-12	(one-way)	One-Way	Finder's Fee $19	3 Experts	Kolsson
29	$1,297	Toronto, YYZ	Cape Town, CPT	Closed	07-Jan-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	KatyR
30	$694	Perth, PER	Beijing, NAY	Closed	06-Apr-12	(one-way)	One-Way	Finder's Fee $29	2 Experts	Ehowson
31	$921	Perth, PER	Christchurch, CHC	Closed	06-Jan-12	(one-way)	One-Way	Finder's Fee $29	2 Experts	Ehowson
32	$1,621	Sydney, SYD	Santiago, SCL	Closed	15-Aug-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Offroad
34	$559	Lima, LIM	Las Vegas, LAS	Closed	01-Feb-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Fly
35	$156	Newark, EWR	Mérida, MID	Closed	12-Jan-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Umarket
36	$1,214	Berlin, TXL	Sydney, SYD	Closed	05-Feb-12	(one-way)	One-Way	Finder's Fee $19	4 Experts	Travelsofadam
37	$477	Sydney, SYD	Denpasar, DPS	Closed	26-Feb-12	03-Mar-12	Round-Trip	Finder's Fee $29	3 Experts	Jindou
38	$325	Houston, IAH	Montego Bay, MBJ	Closed	14-Feb-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Miguel
39	$576	Bangkok, BKK	Los Angeles, LAX	Closed	03-Apr-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Camorose
40	$780	London, LGW	Sydney, SYD	Closed	30-Mar-12	(one-way)	One-Way	Finder's Fee $19	4 Experts	Mburton1982
41	$627	New York, JFK	London, LHR	Closed	12-Feb-12	19-Feb-12	Round-Trip	Finder's Fee $19	2 Experts	Couchsurfingcook
42	$684	London, LHR	New Delhi, DEL	Closed	06-Apr-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Abhijit.gupta
43	$3,271	Sydney, SYD	New Delhi, DEL	Closed	26-May-12	23-Jun-12	Round-Trip	Finder's Fee $19	4 Experts	Bigyahu
44	$1,418	Sydney, SYD	San Francisco, SFO	Closed	01-Sep-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Madeleine
47	$729	Taipei, TPE	San Francisco, SFO	Closed	31-Jan-12	(one-way)	One-Way	Finder's Fee $19	4 Experts	Xpatmatt
48	$93	Berlin, TXL	Rome, FCO	Closed	19-Jan-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Travelsofadam
50	$177	Berlin, TXL	Girona, GRO	Closed	17-Feb-12	21-Feb-12	Round-Trip	Finder's Fee $29	2 Experts	Travelsofadam
51	$358	San Francisco, SFO	Cancún, CUN	Closed	21-Feb-12	(one-way)	One-Way	Finder's Fee $19	3 Experts	Spizz0213
58	$1,297	Melbourne, MEL	New York, NYC	Closed	01-Feb-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Zwoggel
59	$491	New York, NYC	Bogota, BOG	Closed	09-Feb-12	(one-way)	One-Way	Finder's Fee $29	5 Experts	Zwoggel
60	$833	Bogota, BOG	Rio De Janeiro, ALL	Closed	14-Feb-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Zwoggel
61	$478	Detroit, DTW	Lima, LIM	Closed	01-Dec-12	(one-way)	One-Way	Finder's Fee $19	2 Experts	CorneliusAesop
62	$355	Lima, LIM	Rio De Janeiro, ALL	Closed	28-Dec-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	CorneliusAesop
63	$1,114	San Francisco, SFO	Melbourne, ALL	Closed	11-Mar-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Dhackner
64	$610	Calgary, YYC	London, LON	Closed	14-Mar-12	(one-way)	One-Way	Finder's Fee $29	2 Experts	Maella
65	$515	Vancouver, YVR	Honolulu Oahu, HNL	Closed	25-Feb-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Danolouise
66	$198	Hong Kong, HKG	Bangkok, BKK	Closed	12-Jan-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Filination
67	$880	Kaohsiung City, KHH	Los Angeles, LAX	Closed	01-Mar-12	(one-way)	One-Way	Finder's Fee $29	2 Experts	Roxydunk
68	$827	Taipei, TPE	Los Angeles, LAX	Closed	01-Mar-12	08-Mar-12	Round-Trip	Finder's Fee $19	4 Experts	Kharkey
69	$762	Taipei, ALL	Chiang Mai, CNX	Closed	22-Jan-12	(one-way)	One-Way	Finder's Fee $19	4 Experts	JT Goldman
70	$1,085	Calgary, YYC	Istanbul, ALL	Closed	03-May-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Vikkig
71	$570	Calgary, YYC	Kailua/Kona, KOA	Closed	08-Mar-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Docben1945
72	$405	Seattle, SEA	San Juan, ALL	Closed	08-Feb-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Walkingon
73	$1,419	Sydney, SYD	Austin, AUS	Closed	06-Mar-12	16-Mar-12	Round-Trip	Finder's Fee $29	3 Experts	Avismulhall
74	$1,760	Sydney, SYD	London, LON	Closed	10-May-12	(one-way)	One-Way	Finder's Fee $19	2 Experts	Gumbi
75	$1,142	Indianapolis, IND	Taipei, TPE	Closed	23-Jan-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Chen.irene90
76	$289	San Francisco, SFO	New York, JFK	Closed	09-Feb-12	(one-way)	One-Way	Finder's Fee $29	5 Experts	Rjunee
77	$1,302	San Francisco, SFO	Sydney, SYD	Closed	18-Feb-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Rjunee
78	$109	Bangkok, BKK	New Delhi, DEL	Closed	02-Mar-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Fcat
79	$416	Bangkok, BKK	Paris, ALL	Closed	28-Mar-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Poppy
80	$509	Brisbane, BNE	New Delhi, DEL	Closed	16-Apr-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Zicchino
81	$839	Seattle, SEA	Lima, LIM	Closed	15-Mar-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Enghey
82	$844	Taipei, TPE	Honolulu Oahu, HNL	Closed	16-Feb-12	23-Feb-12	Round-Trip	Finder's Fee $19	6 Experts	Minnow
83	$376	Portland, PDX	Orlando, ALL	Closed	17-Mar-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Kprice3
84	$382	Bangkok, BKK	Istanbul, ALL	Closed	17-Feb-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Mizzlatte
90	$1,496	Sydney, SYD	San Francisco, SFO	Closed	18-Jul-12	(one-way)	One-Way	Finder's Fee $19	5 Experts	Jlee9824
96	$498	Canberra, CBR	Perth, PER	Closed	10-Feb-12	(one-way)	One-Way	Finder's Fee $19	3 Experts	LauraandChris
101	$1,163	Sydney, SYD	New York, NYC	Closed	07-Feb-12	(one-way)	One-Way	Finder's Fee $39	3 Experts	RW123
103	$2,528	Sydney, SYD	Sapporo, CTS	Closed	11-Feb-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Nickhac
107	$901	Kaohsiung City, KHH	Vientiane, VTE	Closed	14-Jul-12	(one-way)	One-Way	Finder's Fee $19	4 Experts	Sinned000101
111	$2,831	Townsville, TSV	New Delhi, DEL	Closed	14-Apr-12	(one-way)	One-Way	Finder's Fee $29	2 Experts	Terrikau
113	$1,508	Brisbane, BNE	New Delhi, DEL	Closed	14-Apr-12	(one-way)	One-Way	Finder's Fee $29	2 Experts	Zicchino
119	$984	Taipei, TPE	Honolulu Oahu, HNL	Closed	05-Feb-12	(one-way)	One-Way	Finder's Fee $19	4 Experts	Holly808
121	$268	Sydney, SYD	Christchurch, CHC	Closed	10-Feb-12	(one-way)	One-Way	Finder's Fee $19	3 Experts	MarkWotton
122	$1,641	Sydney, SYD	San Francisco, SFO	Closed	13-Jul-12	(one-way)	One-Way	Finder's Fee $19	3 Experts	Flee
123	$523	Paris, ALL	Johannesburg, ALL	Closed	28-Mar-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Poppy
124	$305	Taipei, TSA	Hong Kong, HKG	Closed	19-Jan-12	(one-way)	One-Way	Finder's Fee $39	3 Experts	Nomadicchick
126	$1,312	Sydney, SYD	Papeete, PPT	Closed	01-Feb-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Jaimelaille
127	$682	San Francisco, SFO	Liberia, LIR	Closed	14-Feb-12	(one-way)	One-Way	Finder's Fee $39	4 Experts	Adamtait
128	$81	Sydney, SYD	Melbourne, MEL	Closed	24-Feb-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Peter_vee
129	$1,403	Sydney, SYD	London, LON	Closed	20-May-12	30-Jun-12	Round-Trip	Finder's Fee $29	4 Experts	Helenmacdougall
130	$373	Seattle, ALL	Honolulu Oahu, HNL	Closed	29-Jan-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Cailin
131	$279	El Paso, ELP	Las Vegas, LAS	Closed	03-Aug-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	EdwardO
132	$181	Denver, DEN	San Francisco, SFO	Closed	09-Mar-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Marija_mkd
133	$390	San Diego, SAN	Maui, OGG	Closed	17-May-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Izzydragon
134	$472	Sydney, SYD	Bangalore, BLR	Closed	30-Jan-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Dpsahoo
135	$482	Lexington, LEX	El Paso, ELP	Closed	06-Jun-12	(one-way)	One-Way	Finder's Fee $39	3 Experts	Beate
136	$372	Omaha, OMA	San Jose, SJC	Closed	03-Mar-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Ameador581
137	$363	Aguadilla, BQN	Chicago, ORD	Closed	09-Feb-12	(one-way)	One-Way	Finder's Fee $39	3 Experts	ShirkeyAndy19
138	$234	San Francisco, SFO	Boston, BOS	Closed	01-Feb-12	15-Feb-12	Round-Trip	Finder's Fee $29	4 Experts	Zacaltman
139	$102	Sydney, SYD	Gold Coast, OOL	Closed	22-Mar-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Brentoe
140	$568	New York, NYC	London, LON	Closed	10-Mar-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Privategibbons
141	$920	Manchester, MAN	Kathmandu, KTM	Closed	03-Oct-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Zezeph
142	$1,187	San Francisco, SFO	Zurich, ZRH	Closed	13-Jun-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Zoellner
143	$340	La Paz, LPB	Santiago, SCL	Closed	23-May-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Bek
144	$1,598	San Francisco, SFO	Istanbul, ALL	Closed	29-Jun-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	N24XCgsq
145	$618	San Francisco, SFO	Budapest, BUD	Closed	18-Feb-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Clay
146	$888	San Francisco, SFO	Ho Chi Minh City, SGN	Closed	30-Mar-12	(one-way)	One-Way	Finder's Fee $29	2 Experts	Htxir
147	$220	Dubai, DXB	Karachi, KHI	Closed	31-Jan-12	(one-way)	One-Way	Finder's Fee $29	2 Experts	Isimple
148	$627	Sydney, SYD	Denpasar, DPS	Closed	30-Jan-12	05-Feb-12	Round-Trip	Finder's Fee $29	3 Experts	Shazliu
151	$1,002	Zurich, ZRH	San Francisco, SFO	Closed	31-Mar-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Hardcopy
152	$1,244	Baton Rouge, BTR	Paris, CDG	Closed	23-May-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Twm
153	$366	Raleigh, RDU	San Francisco, SFO	Closed	09-Feb-12	17-Feb-12	Round-Trip	Finder's Fee $39	3 Experts	Cnonsequitur
155	$734	San Diego, SAN	Paris, CDG	Closed	15-May-12	29-May-12	Round-Trip	Finder's Fee $29	4 Experts	Jad
157	$1,022	San Francisco, SFO	São Paulo, SAO	Closed	18-Feb-12	(one-way)	One-Way	Finder's Fee $29	2 Experts	Clay
159	$108	Madrid, MAD	Dublin, DUB	Closed	15-Mar-12	19-Mar-12	Round-Trip	Finder's Fee $39	2 Experts	Jokester591
160	$616	Toronto, YYZ	Dublin, DUB	Closed	29-Jan-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Carrie
165	$1,163	Dallas, DFW	Paris, ALL	Closed	08-Jun-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Jcwiman
166	$1,231	Houston, IAH	Rome, FCO	Closed	08-Jul-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Gflacombe
167	$863	Fort Lauderdale, FLL	London, LON	Closed	02-Oct-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Derbyflight
168	$1,167	Miami, MIA	Manila, MNL	Closed	06-Mar-12	(one-way)	One-Way	Finder's Fee $29	2 Experts	Marvinprosete123
171	$556	Amsterdam, AMS	Cancún, CUN	Closed	20-Feb-12	(one-way)	One-Way	Finder's Fee $29	2 Experts	Milo
172	$2,547	Sydney, SYD	London, LON	Closed	07-May-12	17-Sep-12	Round-Trip	Finder's Fee $29	3 Experts	Jameshart37
173	$823	Manchester, MAN	Bangkok, BKK	Closed	10-Feb-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Chrisleger16
174	$741	New York, NYC	Barcelona, BCN	Closed	05-Apr-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Byondthsea
176	$731	San Francisco, SFO	Grenoble/Saint-Geoirs, GNB	Closed	03-Apr-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Gocynthia
177	$891	Los Angeles, LAX	Seoul, ICN	Closed	26-Jan-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Samkim001
179	$1,195	Tampa, TPA	Belgrad, BEG	Closed	11-Jun-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Ddapo
180	$1,655	Charlotte, CLT	Bangkok, BKK	Closed	27-Jun-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Myorf137
181	$1,103	Seattle, ALL	New Delhi, DEL	Closed	20-Jun-12	(one-way)	One-Way	Finder's Fee $29	2 Experts	Mybooper
185	$891	New York, JFK	Manila, MNL	Closed	23-Mar-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Peter_panyk1
187	$1,143	Vancouver, YVR	Frankfurt, FRA	Closed	12-Jul-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	KOVITS_E
191	$310	Tucson, TUS	San Francisco, SFO	Closed	03-Feb-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Paty.hidalgo.g
194	$1,488	Seattle, ALL	Amman, ALL	Closed	30-Jun-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Faulknerproject
195	$1,462	Sydney, SYD	Vienna, VIE	Closed	04-Feb-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Ondrobaco
196	$250	Tel Aviv, ALL	Paris, ALL	Closed	30-Jan-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Spitingmonkey
197	$258	Vancouver, YVR	Montréal, YUL	Closed	08-Apr-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Skaltres
198	$732	Vancouver, YVR	Halifax, YHZ	Closed	15-Feb-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Shona_5
199	$1,270	Houston, IAH	Kuala Lumpur, KUL	Closed	22-May-12	25-Jun-12	Round-Trip	Finder's Fee $29	3 Experts	Dreamer.1
200	$617	Seattle, ALL	Lima, LIM	Closed	22-Mar-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Enghey
202	$6,781	Sydney, SYD	San Francisco, SFO	Closed	02-Apr-12	(one-way)	One-Way	Finder's Fee $29	2 Experts	Bigyahu
203	$242	Toronto, ALL	Fort Lauderdale, FLL	Closed	04-May-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Ocpheadquarters
206	$1,089	Guayaquil, GYE	London, LHR	Closed	10-Mar-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Aguycalledgraham
239	$1,074	Boston, BOS	Paris, CDG	Closed	26-Jan-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Anis.jj
242	$1,361	Washington, IAD	Hanoi, HAN	Closed	21-Feb-12	(one-way)	One-Way	Finder's Fee $19	3 Experts	Dho22101
243	$1,372	Grande Prairie, YQU	Prague, PRG	Closed	25-Apr-12	(one-way)	One-Way	Finder's Fee $29	2 Experts	Veraandjerry
248	$1,306	Orlando, MCO	Changsha, CSX	Closed	19-Apr-12	(one-way)	One-Way	Finder's Fee $19	3 Experts	Kkkozimor
274	$288	Green Bay, GRB	Orlando, MCO	Closed	06-May-12	(one-way)	One-Way	Finder's Fee $19	3 Experts	Daremelo
276	$1,019	Vancouver, YVR	Tokoname Nagoya, NGO	Closed	12-Mar-12	(one-way)	One-Way	Finder's Fee $19	4 Experts	Fivedegreeswarme
277	$1,867	Darwin, DRW	San Francisco, SFO	Closed	06-Apr-12	(one-way)	One-Way	Finder's Fee $19	2 Experts	Nicholascrocker
279	$1,304	Seattle, SEA	Hong Kong, HKG	Closed	15-Jun-12	(one-way)	One-Way	Finder's Fee $19	3 Experts	D.nguyen5
281	$966	Auckland, AKL	Los Angeles, LAX	Closed	10-Mar-12	(one-way)	One-Way	Finder's Fee $19	3 Experts	Delsha04
284	$1,135	Sydney, SYD	London, LHR	Closed	06-May-12	(one-way)	One-Way	Finder's Fee $19	3 Experts	Enilorac
285	$1,033	Vancouver, YVR	Taipei, ALL	Closed	23-May-12	(one-way)	One-Way	Finder's Fee $19	3 Experts	Sabinatjchen
286	$1,297	Detroit, DTW	Beijing, PEK	Closed	29-May-12	(one-way)	One-Way	Finder's Fee $19	4 Experts	Patmchenry2008
287	$1,285	Columbus, CMH	Kuala Lumpur, KUL	Closed	19-Feb-12	10-Mar-12	Round-Trip	Finder's Fee $19	3 Experts	RockyLeong57
288	$1,580	Atlanta, ATL	Bangkok, BKK	Closed	13-May-12	(one-way)	One-Way	Finder's Fee $19	3 Experts	Statdr
290	$1,167	Tallahassee, TLH	Shanghai, PVG	Closed	30-Apr-12	(one-way)	One-Way	Finder's Fee $19	3 Experts	Sissiwang1
292	$1,289	Miami, MIA	Bangkok, BKK	Closed	06-Mar-12	(one-way)	One-Way	Finder's Fee $19	3 Experts	Jerzari
294	$547	Toronto, YYZ	London, LHR	Closed	05-Feb-12	(one-way)	One-Way	Finder's Fee $19	3 Experts	Theresayuen2006
297	$1,014	Vancouver, YVR	Taipei, ALL	Closed	22-Feb-12	(one-way)	One-Way	Finder's Fee $19	4 Experts	Bookwormsabs
298	$553	London, LON	New York, NYC	Closed	01-Mar-12	(one-way)	One-Way	Finder's Fee $19	3 Experts	Simonwhybray
299	$1,226	Boston, BOS	Bangkok, BKK	Closed	10-Feb-12	(one-way)	One-Way	Finder's Fee $19	4 Experts	Phil07232000
300	$1,627	Chicago, ORD	Bangkok, BKK	Closed	13-Jun-12	(one-way)	One-Way	Finder's Fee $19	3 Experts	Jbara395
302	$1,265	Toronto, YYZ	Kuala Lumpur, KUL	Closed	26-May-12	(one-way)	One-Way	Finder's Fee $19	4 Experts	Rozyk
304	$1,462	Winnipeg, YWG	Shanghai, ALL	Closed	30-Jun-12	(one-way)	One-Way	Finder's Fee $19	2 Experts	Hushuwei
305	$1,045	Los Angeles, LAX	Barcelona, BCN	Closed	12-Sep-12	(one-way)	One-Way	Finder's Fee $19	3 Experts	Daniela_aguayo08
309	$1,055	Los Angeles, LAX	Beijing, PEK	Closed	12-May-12	(one-way)	One-Way	Finder's Fee $19	3 Experts	Annieyhuang
310	$626	Lisbon, LIS	New York, NYC	Closed	01-Mar-12	(one-way)	One-Way	Finder's Fee $19	2 Experts	Vassalo.nelson
311	$1,018	Honolulu Oahu, HNL	Bangkok, BKK	Closed	28-Feb-12	(one-way)	One-Way	Finder's Fee $19	2 Experts	Kapaluakipp
314	$1,265	Houston, IAH	Bangkok, BKK	Closed	27-May-12	(one-way)	One-Way	Finder's Fee $19	3 Experts	Chaiyakhom
317	$779	Providence, PVD	Paris, CDG	Closed	29-Feb-12	(one-way)	One-Way	Finder's Fee $19	2 Experts	Germaine.chris
319	$932	New York, JFK	Manila, MNL	Closed	19-Sep-12	(one-way)	One-Way	Finder's Fee $19	3 Experts	Meagan.toberos
320	$359	San Francisco, SFO	Honolulu Oahu, HNL	Closed	29-Feb-12	(one-way)	One-Way	Finder's Fee $19	2 Experts	Gercekk
321	$501	Newark, EWR	San Juan, ALL	Closed	20-Feb-12	(one-way)	One-Way	Finder's Fee $19	4 Experts	Kdreyfuss88
327	$1,416	Sydney, SYD	Amsterdam, AMS	Closed	26-Jul-12	(one-way)	One-Way	Finder's Fee $19	3 Experts	Dunstan.andrew
332	$662	San Francisco, SFO	Guatemala City, GUA	Closed	06-May-12	(one-way)	One-Way	Finder's Fee $19	2 Experts	Davehenry05
336	$418	Melbourne, MEL	Cairns, CNS	Closed	05-Apr-12	(one-way)	One-Way	Finder's Fee $19	3 Experts	Aflauria
344	$1,774	Sydney, SYD	San Francisco, SFO	Closed	02-Apr-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Niki
345	$2,200	Sydney, SYD	Johannesburg, ALL	Closed	02-Apr-12	(one-way)	One-Way	Finder's Fee $29	2 Experts	Matt
346	$2,648	Sydney, SYD	Johannesburg, ALL	Closed	18-Apr-12	(one-way)	One-Way	Finder's Fee $29	2 Experts	Matt
351	$636	Salt Lake City, SLC	Chicago, ALL	Closed	04-Mar-12	(one-way)	One-Way	Finder's Fee $29	2 Experts	Zliibbe
359	$1,179	New York, NYC	Belgrad, BEG	Closed	15-Mar-12	(one-way)	One-Way	Finder's Fee $29	2 Experts	Blprnt
379	$824	Toronto, YYZ	Hong Kong, HKG	Closed	19-Feb-12	(one-way)	One-Way	Finder's Fee $29	5 Experts	Sanyo128
382	$790	Milwaukee, MKE	Edinburgh, EDI	Closed	25-Apr-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Travelingsavage
383	$475	Orlando, MCO	Dallas, DFW	Closed	27-Mar-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Chip
394	$1,020	New York, NYC	Rio De Janeiro, ALL	Closed	14-Feb-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Henrik
407	$1,077	Boston, BOS	Zurich, ZRH	Closed	30-Jun-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Larryhaff
428	$389	Burlington, BTV	Fort Myers, RSW	Closed	25-Dec-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Steve_nancy86
460	$1,720	Liberia, LIR	Phnom Penh, PNH	Closed	22-Feb-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Rijsw
466	$238	Charlotte, CLT	Denver, DEN	Closed	21-Apr-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Ali1924
501	$198	West Palm Beach, PBI	Austin, AUS	Closed	23-Mar-12	26-Mar-12	Round-Trip	Finder's Fee $29	3 Experts	Snweed
524	$595	Laredo, LRD	Medford, MFR	Closed	10-Mar-12	(one-way)	One-Way	Finder's Fee $29	5 Experts	Bcatcurve
573	$279	Boston, BOS	San Francisco, SFO	Closed	07-Jun-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Derrick
611	$1,318	Los Angeles, LAX	Tel Aviv, TLV	Closed	06-Apr-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Elizabethjrowen
628	$682	Albuquerque, ABQ	Maui, OGG	Closed	14-Apr-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Rguen1000
634	$1,309	San Francisco, SFO	Rome, FCO	Closed	03-Aug-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Ktstruble
664	$1,260	Boise, BOI	Tunis, TUN	Closed	29-Feb-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Figaronasro
671	$557	Milwaukee, MKE	Tampa, TPA	Closed	23-Feb-12	27-Feb-12	Round-Trip	Finder's Fee $29	1 Expert	23dawnmarie
675	$828	Detroit, DTW	Lima, LIM	Closed	03-Dec-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	CorneliusAesop
725	$332	Boston, BOS	Albuquerque, ABQ	Closed	25-Apr-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Azube1
